Unnamed: 166,Unnamed: 184,Unnamed: 181,Unnamed: 178,R1) Joint Funding of Investment (with Agencies),Unnamed: 172,Unnamed: 169,P) External Funding Allocation,Unnamed: 163,Unnamed: 141,Subagency,Unnamed: 224,W) Measurement Instruments Used,B) Year Established,Unnamed: 237,Unnamed: 153,Unnamed: 239,Unnamed: 92,Unnamed: 55,Unnamed: 21,Agency,Unnamed: 159,Unnamed: 240,Unnamed: 209,Unnamed: 107,R2) Joint Funding of Investment (with Other),Q) Legislation Required to Shift Focus?,Unnamed: 175,Unnamed: 128,F1) Primary Investment Objective,Unnamed: 162,H) Educational Services or Products Produced,Unnamed: 177,Y3) Process or Implementation Evaluation Type,Unnamed: 165,Unnamed: 26,Unnamed: 36,Unnamed: 124,Unnamed: 180,Unnamed: 52,Unnamed: 183,Unnamed: 214,Unnamed: 44,Unnamed: 222,Unnamed: 34,Unnamed: 252,Unnamed: 111,Unnamed: 18,Unnamed: 110,Unnamed: 243,Unnamed: 45,Unnamed: 99,Unnamed: 103,Unnamed: 43,Unnamed: 24,Unnamed: 126,L) Minority Serving Institutions,V) Outcomes Measured,Unnamed: 61,Unnamed: 50,Unnamed: 17,Unnamed: 232,Unnamed: 144,Unnamed: 94,Unnamed: 98,Unnamed: 40,Unnamed: 158, C1) Funding FY2008 , C2) Funding FY2009 , C3) Funding FY2010 
0,0,0,0,0,0,0,0,0,129,49,0,0,2009,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,1.8,2.2
0,0,0,0,0,0,0,0,0,135,31,0,0,1999,0,0,0,36,0,0,7,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.318,0.33,0.695
0,0,0,0,0,0,0,0,0,0,11,39,70,2002,35,0,41,0,1,1,11,0,26,14,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,1,0,1,0,0,0,0,47.87,85.99,57.93
0,0,0,1,0,0,0,0,0,0,6,0,27,2010,0,30,0,0,0,0,10,0,0,15,0,9,2,2,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3
0,0,0,0,0,0,0,0,0,0,11,0,0,1998,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,1,0,0,1,0,29.74,31.13,32.06
0,0,0,0,0,0,0,0,0,0,11,0,55,2002,0,0,33,0,0,0,11,0,24,0,0,0,1,0,0,5,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,1,0,1,0,0,1,0,29.48,29.09,31.64
0,0,0,0,0,0,0,0,0,122,31,26,0,2000,0,0,0,0,0,33,7,0,0,0,10,0,2,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0,0,2,0,1,2,1,0,0,1,0,0,0,18.57,25.69,24.441999999999997
0,0,0,0,0,0,0,0,0,0,62,15,52,2010,0,0,0,28,7,6,10,11,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0.0,0.924,0.885
0,0,0,0,0,0,0,0,0,0,51,0,0,2004,0,0,0,0,0,0,11,0,0,12,0,0,1,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1.75,1.52,1.74
0,0,0,0,0,0,0,0,0,0,55,0,4,1990,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,31.186,35.204,34.873000000000005
0,0,0,0,0,0,0,0,10,58,23,76,15,1976,8,16,22,0,9,26,2,21,0,0,0,8,2,0,0,4,5,1,2,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,3,1,0,2,2,1,0,1,0,0,1,2,2.82,3.502,4.002
0,0,0,0,0,0,0,0,0,126,31,0,0,1977,0,0,0,34,0,0,7,0,0,0,0,0,2,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0,0,2,2,1,2,1,0,0,1,0,1,0,16.764,21.249000000000002,21.249000000000002
0,0,0,0,0,0,0,0,0,56,49,8,0,2007,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4.72,4.72,4.7
0,0,0,0,0,0,0,0,0,7,5,0,0,1983,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0.32899999999999996,0.287,0.315
