,Unnamed: 166,Unnamed: 184,Unnamed: 181,Unnamed: 178,R1) Joint Funding of Investment (with Agencies),Unnamed: 172,Unnamed: 169,P) External Funding Allocation,Unnamed: 163,Unnamed: 141,Subagency,Unnamed: 224,W) Measurement Instruments Used,B) Year Established,Unnamed: 237,Unnamed: 153,Unnamed: 239,Unnamed: 92,Unnamed: 55,Unnamed: 21,Agency,Unnamed: 159,Unnamed: 240,Unnamed: 209,Unnamed: 107,R2) Joint Funding of Investment (with Other),Q) Legislation Required to Shift Focus?,Unnamed: 175,Unnamed: 128,F1) Primary Investment Objective,Unnamed: 162,H) Educational Services or Products Produced,Unnamed: 177,Y3) Process or Implementation Evaluation Type,Unnamed: 165,Unnamed: 26,Unnamed: 36,Unnamed: 124,Unnamed: 180,Unnamed: 52,Unnamed: 183,Unnamed: 214,Unnamed: 44,Unnamed: 222,Unnamed: 34,Unnamed: 252,Unnamed: 111,Unnamed: 18,Unnamed: 110,Unnamed: 243,Unnamed: 45,Unnamed: 99,Unnamed: 103,Unnamed: 43,Unnamed: 24,Unnamed: 126,L) Minority Serving Institutions,V) Outcomes Measured,Unnamed: 61,Unnamed: 50,Unnamed: 17,Unnamed: 232,Unnamed: 144,Unnamed: 94,Unnamed: 98,Unnamed: 40,Unnamed: 158, C1) Funding FY2008 , C2) Funding FY2009 , C3) Funding FY2010 
16,0,0,0,0,0,0,0,0,0,39,11,44,0,2001.0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,11.37,14.88,14.87
17,0,0,0,0,0,0,0,0,0,0,11,39,70,2002.0,35,0,41,0,1,1,11,0,26,14,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,1,0,1,0,0,0,0,47.87,85.99,57.93
18,0,0,0,0,0,0,0,0,11,0,11,59,20,1987.0,39,0,0,0,0,21,11,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,62.67,100.47,80.99
19,0,0,0,0,0,0,0,0,0,0,11,57,50,2002.0,30,0,11,0,35,0,11,0,15,0,0,0,1,0,0,6,0,1,0,1,0,0,1,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,2,2,0,1,1,0,0,1,0,55.05,115,54.93
20,0,0,0,0,0,0,0,0,0,0,11,0,55,2002.0,0,0,33,0,0,0,11,0,24,0,0,0,1,0,0,5,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,1,0,1,0,0,1,0,29.48,29.09,31.64
21,0,0,0,0,0,0,0,0,0,0,54,0,0,2006.0,17,0,0,33,0,18,11,0,0,0,0,0,1,0,0,2,4,1,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,1,0,1,0,0,0,0,2.29,2.42,1.38
22,0,0,0,0,0,0,0,0,0,0,51,67,0,2004.0,0,0,0,0,0,7,11,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,1,0,0,0,0,2.71,4.22,3.43
23,0,0,0,0,0,0,0,0,0,0,14,0,0,2003.0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,2,0,0,0,1,0,0,1,0,19.46,26.95,15.07
24,0,0,0,0,0,0,0,0,0,0,14,0,0,2004.0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,2.32,2.71,2.7
25,0,0,0,0,0,0,0,0,0,0,11,0,0,2008.0,21,23,0,0,0,0,11,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,0,99.25,108.41,118.38
